493689,MSFT,TECH,0.21,16.7,2.48,3.7,22.12,2.45,23.02,10,-20,1
493690,NVDA,TECH,0.35,26.56,1.08,3.23,12.26,2.58,13.9,16,-1,3
493691,F,AUTO,0.26,8.66,1.14,0.26,3.02,1.2,15.11,0,-7,4
493692,PG,FMCG,0.12,21.82,3.15,2.96,13.27,0.99,13.42,4,14,2
493693,TSLA,AUTO,0.7,0,-0.22,12.16,-6.52,2.23,-19.48,17,-8,4
493694,UBS,BANK,0.18,36.5,0.4,1.62,0.6,0.95,0.39,16,2,4
493695,HMC,AUTO,0.26,15.38,1.54,0.35,2.36,1.14,4.71,15,1,4
493698,GM,AUTO,0.25,9.07,2.73,0.27,2.97,1.13,12.6,7,-1,4
493699,MSFT,TECH,0.25,11.98,2.71,3.28,27.35,3.17,28.32,8,7,1
493700,F,AUTO,0.2,7.1,1.51,0.3,7.53,6.35,41.43,5,-8,1
493703,FB,TECH,0.32,70.43,1.62,16.56,24.75,13.16,11.36,6,14,4
493704,DB,BANK,0.3,26.28,1.12,0.74,3.49,0.71,2.09,6,1,4
493705,HOG,AUTO,0.23,14.11,3.44,1.53,10.72,1.27,30.49,10,15,1
493707,AMZN,TECH,0.26,112.28,17.84,4.51,4.03,1.08,26.71,13,0,4
493708,UBS,BANK,0.35,13.36,0.93,1.32,9.95,1.14,6.3,17,-6,4
493709,UBS,BANK,0.27,14.62,1.06,1.63,10.8,1.19,7.22,5,-7,3
493710,FB,TECH,0.32,70.93,1.1,16.5,23.46,9.4,12.66,0,14,4
493711,SC,BANK,0.29,4.16,3.57,0.75,17.83,0.88,20.6,10,-17,4
493712,M,RETAIL,0.23,10.5,4.03,0.57,5.37,1.52,25.49,5,-8,4
493713,PG,FMCG,0.13,16.07,4.01,2.52,15.31,0.94,16.33,9,-19,4
493715,TGT,RETAIL,0.19,0,-1.39,0.6,-1.22,1.14,-6.16,9,-10,4
493716,PEP,FMCG,0.16,31.49,3.21,2.25,7.14,1.24,40.33,14,-4,3
493717,UBS,BANK,0.32,14.62,1.06,1.63,10.8,1.19,7.22,8,11,3
493718,KSS,RETAIL,0.43,9.65,3.43,0.3,3.06,1.72,11.81,17,14,4
493721,HMC,AUTO,0.14,5.99,5.19,0.41,6.84,1.25,13,8,2,3
493724,F,AUTO,0.22,15.5,0.77,0.34,0.98,6.03,5.45,0,-4,4
493725,MSFT,TECH,0.23,27.58,2.12,4.89,23.81,2.05,31.54,14,-3,1
493726,BAC,BANK,0.32,9.39,1.31,1.47,15.77,0.93,5.74,1,9,4
493727,WMT,RETAIL,0.25,48.88,1.74,0.5,1.02,0.93,6.67,7,3,4
493728,SC,BANK,0.48,5.8,2.11,0.62,10.84,0.91,15.44,7,-8,1
493729,JPM,BANK,0.19,14.3,7.02,3,20.87,1.01,9.65,10,19,2
493730,COST,RETAIL,0.19,25.59,5.23,0.5,1.97,1.01,21,2,20,4
493731,HOG,AUTO,0.23,14.34,3.87,1.95,13.55,1.65,26.54,16,12,1
493733,F,AUTO,0.21,15.5,0.77,0.34,0.98,6.03,5.45,12,-20,4
493734,HMC,AUTO,0.25,12.59,2.02,0.37,2.91,1.15,5.86,12,-3,4
493736,HOG,AUTO,0.21,17.53,3.27,2.18,12.44,1.59,25.82,16,-3,1
493737,BAC,BANK,0.22,13.76,1.93,2.74,19.49,0.91,7.47,15,-16,1
493738,PEP,FMCG,0.14,15.65,4.32,1.59,10.15,1.25,29.3,13,13,2
493739,PEP,FMCG,0.13,21.32,4.36,2.15,10.08,1.25,53.27,1,-6,4
493741,KSS,RETAIL,0.26,13.03,4.29,0.6,4.56,1.91,14.72,11,-16,4
493742,TGT,RETAIL,0.22,12.62,5.42,0.59,4.61,1.16,25.5,6,-4,4
493743,TSLA,AUTO,0.4,0,-3.22,4.22,-19.9,0.73,-51.74,1,-2,4
493744,UBS,BANK,0.18,43.55,0.37,1.81,0.06,1.04,0.04,17,10,4
493745,GOOG,TECH,0.25,24.67,21.1,5.55,20.48,4.85,13.48,7,19,1
493747,JPM,BANK,0.19,9.38,5.46,1.87,19.91,0.99,8.91,5,-20,4
493749,SC,BANK,0.48,5.8,2.11,0.62,10.84,0.91,15.44,9,18,1
493753,AMZN,TECH,0.36,244.3,2.43,2.5,1.03,1.08,8.91,9,5,4
493754,FB,TECH,0.4,73.14,0.92,17.27,23.67,12.82,14.91,13,-17,4
493755,PG,FMCG,0.16,20.08,3.69,3.24,15.7,1.1,16.87,2,-16,3
493756,AAPL,TECH,0.24,13.55,1.55,2.95,21.64,1.47,31.2,9,-9,1
493757,PEP,FMCG,0.12,21.32,4.36,2.15,10.08,1.25,53.27,10,-13,3
493758,TGT,RETAIL,0.17,16.91,2.96,0.45,2.65,0.92,11.66,13,-6,4
493759,PG,FMCG,0.16,17.58,3.74,2.32,12.94,0.89,15.55,11,-7,4
493760,KO,FMCG,0.11,153.93,0.27,4.97,3.45,1.34,5.79,15,13,4
493761,KO,FMCG,0.12,41.65,0.96,4.47,10.68,1.35,17.54,18,-11,4
493763,TGT,RETAIL,0.2,0,-2.2,0.58,-1.94,1.23,-9.31,0,-11,4
493764,UBS,BANK,0.19,36.5,0.4,1.62,0.6,0.95,0.39,7,0,4
493765,DB,BANK,0.27,599.56,0.07,0.79,0.34,0.73,0.25,2,0,4
493766,AMZN,TECH,0.32,0,-0.48,1.76,-0.25,0.89,-2.1,6,2,4
493767,KSS,RETAIL,0.22,9.99,4.1,0.46,4.6,1.88,14.73,17,8,4
493768,UBS,BANK,0.18,57.86,0.29,1.92,2.89,1.03,1.79,7,-7,4
493769,AMZN,TECH,0.36,244.3,2.43,2.5,1.03,1.08,8.91,16,11,4
493770,HOG,AUTO,0.22,15.58,2.98,1.43,9.23,1.23,26.93,13,-3,1
493771,DB,BANK,0.25,14.53,1.97,0.6,3.9,0.64,2.45,17,17,4
493772,KSS,RETAIL,0.23,9.38,4.07,0.44,4.67,1.93,14.83,18,-11,4
493773,DB,BANK,0.31,0,-0.5,0.81,-1.97,0.84,-1.1,11,-16,4
493774,JPM,BANK,0.19,12.46,4.01,1.82,14.66,0.96,7.24,10,14,4
493776,DB,BANK,0.35,0,-0.62,0.68,-0.54,0.84,-0.31,10,-8,4
493777,FB,TECH,0.32,54.94,2.08,14.89,29.12,12.22,14.09,10,13,4
493778,AXP,BANK,0.24,11.33,5,1.63,14.29,1.92,23.37,7,20,1
493779,COST,RETAIL,0.18,24.35,6.08,0.51,2.08,0.99,23.19,4,2,4
493780,COST,RETAIL,0.19,26.89,5.34,0.55,2.03,1.03,21.88,9,17,4
493781,JPM,BANK,0.19,14.3,7.02,3,20.87,1.01,9.65,8,-15,3
493782,F,AUTO,0.22,8.59,1.19,0.28,2.48,6.25,13.95,14,13,4
493784,GM,AUTO,0.26,3.1,7.81,0.28,9.12,0.98,30.96,0,17,1
493785,GM,AUTO,0.25,14.67,1.83,0.29,1.94,1.25,7.46,15,11,4
493786,FB,TECH,0.32,81.77,1.28,16.65,20.47,11.25,9.03,13,19,4
493787,BAC,BANK,0.26,11.14,1.37,1.83,15.43,0.92,5.69,12,-12,4
493789,TSLA,AUTO,0.6,0,-0.27,12.06,-6.81,2.18,-21.45,11,1,4
493790,TGT,RETAIL,0.2,21.3,2.39,0.46,2.15,1.02,9.31,0,-8,4
493791,DB,BANK,0.48,0,-0.77,0.62,-1.63,0.79,-0.96,15,-4,4
493792,M,RETAIL,0.4,13.11,2.18,0.35,2.63,1.22,16.94,13,13,4
493793,BAC,BANK,0.24,13.38,1.68,2.52,18.75,0.91,6.8,17,5,1
493796,PG,FMCG,0.12,18.91,3.66,2.77,14.31,0.91,14.95,18,-10,4
493798,MSFT,TECH,0.21,15.14,2.41,3.2,21.1,2.91,22.1,3,-7,1
493804,AXP,BANK,0.18,16.66,4.88,2.55,15.25,2.16,27.58,8,20,2
493805,F,AUTO,0.24,6.25,1.75,0.3,8.14,6.74,57.25,6,4,1
493808,PG,FMCG,0.15,20.5,3.82,3.1,14.7,0.8,18.28,0,5,2
493809,GM,AUTO,0.26,5.08,6,0.32,6.32,0.9,21.62,0,-10,4
493811,F,AUTO,0.28,4.88,2.05,0.26,5.45,1.24,29.02,12,15,4
